school,szkoła,0,0,0,0,1,0
state,stan,0,0,0,0,1,0
family,rodzina,0,0,1,0,1,0
student,uczeń,0,0,0,0,1,0
group,grupa,0,0,0,0,1,0
country,kraj,0,0,0,0,0,0
problem,problem,0,0,0,0,1,0
hand,dłoń,0,0,0,0,1,0
part,część,0,0,0,0,1,0
place,miejsce,0,0,0,0,1,0
case,przypadek,0,0,0,0,1,0
week,tydzień,0,0,0,0,1,0
company,firma,0,0,0,0,1,0
system,system,0,0,0,0,1,0
program,projekt,0,0,0,0,1,0
question,pytanie,0,0,0,0,1,0
work,praca,0,0,0,0,1,0
government,rząd,0,0,0,0,1,0
number,liczba,0,0,0,0,1,0
night,noc,0,0,0,0,1,0
point,punkt,0,0,0,0,1,0
home,dom,0,0,0,0,1,0
water,woda,0,0,0,0,1,0
room,pokój,0,0,0,0,1,0
mother,matka,0,0,0,0,1,0
area,rejon,0,0,0,0,1,0
money,pieniądze,0,0,0,0,1,0
story,opowieść,0,0,0,0,1,0
fact,fakt,0,0,0,0,1,0
month,miesiąc,0,0,0,0,1,0
lot,grupa ludzi,0,0,0,0,1,0
right,prawo do czegoś,0,0,0,0,1,0
study,badanie,0,0,0,0,1,0
book,książka,0,0,0,0,1,0
eye,oko,0,0,0,0,1,0
job,praca,0,0,0,0,1,0
word,słowo,0,0,0,0,1,0
business,biznes,0,0,0,0,1,0
issue,sprawa,0,0,0,0,1,0
side,strona,0,0,0,0,1,0
kind,rodzaj,0,0,0,0,1,0
head,głowa,0,0,0,0,1,0
house,dom (budynek),0,0,0,0,1,0
service,praca,0,0,0,0,1,0
friend,przyjaciel,0,0,0,0,1,0
father,ojciec,0,0,0,0,1,0
power,władza,0,0,0,0,1,0
hour,godzina,0,0,0,0,1,0
game,gra,0,0,0,0,1,0
line,linia,0,0,0,0,1,0
end,koniec,0,0,0,0,1,0
member,członek,0,0,0,0,1,0
law,prawo,0,0,0,0,1,0
car,samochód,0,0,0,0,1,0
city,duże miasto,0,0,0,0,1,0
community,społeczność,0,0,0,0,1,0
name,imię,0,0,0,0,1,0
president,prezydent,0,0,0,0,1,0
team,drużyna,0,0,0,0,1,0
minute,minuta,0,0,0,0,1,0
idea,pomysł,0,0,0,0,1,0
kid,dziecko,0,0,0,0,1,0
body,ciało,0,0,0,0,1,0
information,informacja,0,0,0,0,1,0
back,tył,0,0,0,0,1,0
parent,rodzic,0,0,0,0,1,0
face,twarz,0,0,0,0,1,0
others,inni (ludzie),0,0,0,0,1,0
level,poziom,0,0,0,0,1,0
office,biuro,0,0,0,0,1,0
door,drzwi,0,0,0,0,1,0
health,zdrowie,0,0,0,0,1,0
person,osoba,0,0,0,0,1,0
art,sztuka,0,0,0,0,1,0
war,wojna,0,0,0,0,1,0
history,historia,0,0,0,0,1,0
party,impreza,0,0,0,0,1,0
result,wynik,0,0,0,0,1,0
change,zmiana,0,0,0,0,1,0
morning,poranek,0,0,0,0,1,0
reason,przyczyna,0,0,0,0,1,0
research,badanie,0,0,0,0,1,0
girl,dziewczyna,0,0,0,0,1,0
guy,facet,0,0,0,0,1,0
moment,chwila,0,0,0,0,1,0
air,powietrze,0,0,0,0,1,0
teacher,nauczyciel,0,0,0,0,1,0
force,siła,0,0,0,0,1,0
education,wykształcenie,0,0,0,0,1,0
zielony,green,0,0,0,0,1,0
